epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3634.46,0.79905,1.36822,0.95646,0.65766,0.47293,0.44615,0.37709,0.61506,0.97735,0.88799,0.000332966,0.000332966,0.000332966
2,7235.36,0.80107,0.9697,0.96733,0.447,0.47884,0.48708,0.41027,0.6275,0.82221,0.89579,0.000644311,0.000644311,0.000644311
3,12692.2,0.80036,0.90384,0.96773,0.47579,0.47537,0.49178,0.41111,0.65229,0.81479,0.90463,0.000933657,0.000933657,0.000933657
4,18301.8,0.77987,0.85288,0.96189,0.71893,0.49091,0.51396,0.43584,0.62753,0.73546,0.89199,0.000901,0.000901,0.000901
5,20734.8,0.75551,0.81735,0.95402,0.73878,0.51296,0.53958,0.46263,0.603,0.70202,0.88387,0.000868,0.000868,0.000868
6,23156.5,0.74204,0.79423,0.94701,0.72888,0.51472,0.53294,0.45461,0.60446,0.70661,0.88532,0.000835,0.000835,0.000835
7,29702.9,0.72689,0.7715,0.94276,0.48284,0.53083,0.53638,0.46665,0.58416,0.70138,0.87779,0.000802,0.000802,0.000802
8,33075.8,0.71545,0.76041,0.93843,0.74796,0.53399,0.55411,0.48169,0.5784,0.6487,0.87468,0.000769,0.000769,0.000769
9,35832.2,0.70488,0.74383,0.93479,0.75448,0.52171,0.5572,0.48568,0.55783,0.63539,0.87001,0.000736,0.000736,0.000736
10,38589.2,0.69644,0.72903,0.93088,0.78164,0.51155,0.56564,0.49784,0.54395,0.61469,0.86263,0.000703,0.000703,0.000703
11,41338.2,0.6865,0.71931,0.92785,0.763,0.53485,0.57211,0.50479,0.54883,0.61117,0.86426,0.00067,0.00067,0.00067
12,44084.9,0.68304,0.71406,0.92566,0.78447,0.523,0.57534,0.50882,0.54337,0.60965,0.86298,0.000637,0.000637,0.000637
13,46834.1,0.6708,0.70282,0.9224,0.78483,0.53501,0.58166,0.51624,0.54014,0.60235,0.86075,0.000604,0.000604,0.000604
14,49585.2,0.66795,0.69397,0.92153,0.78667,0.5403,0.58888,0.52524,0.52932,0.58628,0.8589,0.000571,0.000571,0.000571
15,52335.7,0.66023,0.68141,0.91888,0.79323,0.54529,0.58845,0.5242,0.53572,0.58237,0.86218,0.000538,0.000538,0.000538
16,55083.2,0.65546,0.67617,0.91659,0.79854,0.53188,0.58983,0.52785,0.51344,0.57411,0.85501,0.000505,0.000505,0.000505
17,57828.8,0.64738,0.66933,0.915,0.78364,0.55385,0.59337,0.53185,0.51174,0.57179,0.85346,0.000472,0.000472,0.000472
18,60583.8,0.64304,0.65964,0.91099,0.78678,0.54056,0.59195,0.53109,0.50971,0.5674,0.85279,0.000439,0.000439,0.000439
19,63153.7,0.63765,0.65571,0.90948,0.78374,0.55933,0.59626,0.53795,0.50374,0.55981,0.85032,0.000406,0.000406,0.000406
20,66231,0.6345,0.65143,0.90931,0.7958,0.54342,0.59891,0.53879,0.50522,0.55462,0.84937,0.000373,0.000373,0.000373
21,186133,0.60472,0.59524,0.89097,0.80226,0.55189,0.60318,0.54391,0.50173,0.54985,0.8501,0.00034,0.00034,0.00034
22,189380,0.59425,0.58517,0.88529,0.80342,0.55138,0.60736,0.54874,0.49631,0.54419,0.84717,0.000307,0.000307,0.000307
23,192774,0.58656,0.5747,0.8821,0.80794,0.54748,0.60711,0.54817,0.49529,0.54188,0.84703,0.000274,0.000274,0.000274
24,202953,0.58089,0.56693,0.87928,0.80206,0.55706,0.61114,0.55417,0.48956,0.53379,0.84387,0.000241,0.000241,0.000241
25,205665,0.57761,0.55904,0.87872,0.79979,0.55764,0.60979,0.55134,0.48851,0.52802,0.84226,0.000208,0.000208,0.000208
26,208363,0.56958,0.54876,0.87432,0.8218,0.54502,0.61299,0.5564,0.4842,0.52502,0.84223,0.000175,0.000175,0.000175
27,211057,0.56422,0.54118,0.87246,0.79871,0.56532,0.61476,0.55958,0.4804,0.51941,0.84118,0.000142,0.000142,0.000142
28,213749,0.55811,0.536,0.87087,0.80227,0.56325,0.61489,0.5596,0.47808,0.51844,0.83948,0.000109,0.000109,0.000109
29,216451,0.55402,0.52745,0.86829,0.81789,0.55265,0.61663,0.56125,0.47673,0.51421,0.83871,7.6e-05,7.6e-05,7.6e-05
30,219153,0.54791,0.52234,0.86745,0.81027,0.55902,0.61725,0.56185,0.47628,0.51324,0.838,4.3e-05,4.3e-05,4.3e-05
