epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,119.73,1.44355,4.3482,0.92253,0.00052,0.07717,0.02391,0.01839,0.98083,4.16027,0.82321,0.00040625,0.00040625,0.00040625
2,244.977,1.23215,2.57337,0.87111,0.60437,0.02508,0.22494,0.15369,1.12166,3.73491,0.87326,0.000806623,0.000806623,0.000806623
3,371.726,1.21178,2.06322,0.87135,0.96582,0.51165,0.77589,0.56929,0.96392,2.43138,0.86155,0.0011905,0.0011905,0.0011905
4,504.639,1.15225,1.70775,0.86584,0.85698,0.69,0.79597,0.60071,0.92329,1.5705,0.84228,0.00117575,0.00117575,0.00117575
5,628.67,1.05378,1.43074,0.85481,0.88566,0.73858,0.84841,0.64465,0.8653,1.24002,0.83172,0.001151,0.001151,0.001151
6,752.593,1.02481,1.28013,0.84641,0.85586,0.78324,0.86214,0.65039,0.85685,1.10686,0.83155,0.00112625,0.00112625,0.00112625
7,876.582,0.99715,1.14811,0.84162,0.93632,0.77637,0.85962,0.66929,0.81104,0.97905,0.82349,0.0011015,0.0011015,0.0011015
8,1001.39,0.96477,1.0481,0.84534,0.9201,0.78545,0.88361,0.67426,0.80863,0.88903,0.82515,0.00107675,0.00107675,0.00107675
9,1126.26,0.97722,0.99991,0.8404,0.94412,0.75651,0.88061,0.67346,0.79515,0.88939,0.82285,0.001052,0.001052,0.001052
10,1251.87,0.94928,0.9417,0.83225,0.86672,0.85073,0.91639,0.71203,0.76031,0.79315,0.8099,0.00102725,0.00102725,0.00102725
11,1376.42,0.92472,0.89185,0.83079,0.934,0.81702,0.90178,0.71709,0.75607,0.73584,0.80816,0.0010025,0.0010025,0.0010025
12,1500.51,0.87173,0.80735,0.82092,0.94006,0.82786,0.92675,0.74493,0.7119,0.67129,0.80874,0.00097775,0.00097775,0.00097775
13,1625.62,0.93572,0.80763,0.82708,0.96341,0.83172,0.91107,0.72556,0.74185,0.6851,0.81281,0.000953,0.000953,0.000953
14,1751.22,0.90521,0.75213,0.82271,0.98156,0.83031,0.91667,0.72166,0.72532,0.63733,0.80716,0.00092825,0.00092825,0.00092825
15,1877.84,0.86674,0.71352,0.8205,0.92944,0.82951,0.91066,0.68912,0.8332,0.69239,0.82089,0.0009035,0.0009035,0.0009035
16,2003.34,0.87493,0.71567,0.82636,0.96476,0.81579,0.9152,0.74127,0.7191,0.6306,0.80958,0.00087875,0.00087875,0.00087875
17,2128.05,0.857,0.68742,0.81861,0.96352,0.8126,0.91665,0.73154,0.73756,0.61506,0.81568,0.000854,0.000854,0.000854
18,2251.91,0.83851,0.65998,0.80756,0.97352,0.83167,0.92656,0.75429,0.70458,0.60957,0.8042,0.00082925,0.00082925,0.00082925
19,2376.07,0.85055,0.65654,0.80863,0.94857,0.83855,0.927,0.73284,0.73314,0.60442,0.80658,0.0008045,0.0008045,0.0008045
20,2503.39,0.81322,0.61662,0.81384,0.90504,0.85999,0.92795,0.76122,0.68439,0.57155,0.80301,0.00077975,0.00077975,0.00077975
21,2628.89,0.79141,0.60143,0.81235,0.94046,0.84535,0.93427,0.7539,0.68075,0.55443,0.80164,0.000755,0.000755,0.000755
22,2754.57,0.80462,0.59857,0.81352,0.92357,0.84467,0.936,0.7454,0.72539,0.57064,0.80748,0.00073025,0.00073025,0.00073025
23,2876.79,0.83216,0.61388,0.81551,0.95427,0.84175,0.93626,0.73481,0.77242,0.58319,0.81777,0.0007055,0.0007055,0.0007055
24,2998.32,0.83392,0.60661,0.81581,0.93114,0.82872,0.934,0.73521,0.71861,0.55069,0.81272,0.00068075,0.00068075,0.00068075
25,3119.51,0.8105,0.60159,0.81433,0.96569,0.86577,0.93733,0.73829,0.69883,0.52667,0.80605,0.000656,0.000656,0.000656
26,3240.35,0.80079,0.57616,0.80555,0.98117,0.81957,0.93444,0.78174,0.62496,0.52852,0.79958,0.00063125,0.00063125,0.00063125
27,3361.42,0.76255,0.5433,0.80313,0.93353,0.89599,0.94195,0.78545,0.6303,0.50664,0.79939,0.0006065,0.0006065,0.0006065
28,3482.08,0.76567,0.54329,0.81438,0.9716,0.84998,0.9372,0.76774,0.63911,0.5105,0.80098,0.00058175,0.00058175,0.00058175
29,3603.12,0.77273,0.54684,0.80445,0.93208,0.88694,0.93876,0.78037,0.6106,0.50063,0.79674,0.000557,0.000557,0.000557
30,3724.49,0.77141,0.52528,0.80965,0.97821,0.87634,0.94747,0.7794,0.63465,0.46779,0.79524,0.00053225,0.00053225,0.00053225
31,3845.84,0.74972,0.52151,0.8119,0.9489,0.87924,0.94334,0.76827,0.64635,0.48261,0.79584,0.0005075,0.0005075,0.0005075
32,3968.15,0.77797,0.53189,0.80753,0.9816,0.84286,0.94573,0.78685,0.63854,0.4718,0.79629,0.00048275,0.00048275,0.00048275
33,4084.64,0.72427,0.49921,0.80326,0.9738,0.88482,0.94237,0.78497,0.64548,0.47461,0.79713,0.000458,0.000458,0.000458
34,4764.88,0.71299,0.49381,0.80893,0.97201,0.84185,0.93669,0.78037,0.60741,0.49039,0.79453,0.00043325,0.00043325,0.00043325
35,4879.76,0.72666,0.48453,0.79537,0.94584,0.85366,0.94333,0.79315,0.62036,0.45729,0.79343,0.0004085,0.0004085,0.0004085
36,5000.22,0.78117,0.52391,0.81133,0.97944,0.83914,0.93305,0.78231,0.59055,0.47185,0.79244,0.00038375,0.00038375,0.00038375
37,5154.7,0.72513,0.47369,0.80017,0.90725,0.89863,0.9347,0.78992,0.59478,0.46524,0.78914,0.000359,0.000359,0.000359
38,5303.79,0.70729,0.48762,0.79829,0.93325,0.90251,0.94101,0.78924,0.62,0.4595,0.79052,0.00033425,0.00033425,0.00033425
39,5454.58,0.71006,0.46104,0.80816,0.96516,0.85614,0.93967,0.79134,0.61442,0.44711,0.79445,0.0003095,0.0003095,0.0003095
40,5598.44,0.69979,0.46769,0.7978,0.97193,0.86193,0.94168,0.79487,0.61643,0.44078,0.79515,0.00028475,0.00028475,0.00028475
41,5732.19,0.64111,0.44483,0.79331,0.97777,0.86045,0.93985,0.78567,0.6144,0.45464,0.79031,0.00026,0.00026,0.00026
42,5873.75,0.65191,0.44843,0.78554,0.93316,0.90718,0.94405,0.79172,0.5941,0.43328,0.78851,0.00023525,0.00023525,0.00023525
43,6037.47,0.65166,0.4384,0.79434,0.93019,0.89462,0.93735,0.79174,0.58888,0.43421,0.79186,0.0002105,0.0002105,0.0002105
